Age Group,Programs = Activity Type,Agencies,Short Description that relate to program,Address,Phone Number,Website,Registration,Cost,Logo
0-5,Arts & Culture,Clarion Highland Dance Studio,Highland Dancing,,,www.clarioncreations.ca,Registered,Paid,
0-5,Arts & Culture,Deas Island Dance,"Ballet, Modern, Jazz, Lyrical Jazz, Hip Hop, Tap",,,www.deasislanddance.com,Registered,Paid,
0-5,Arts & Culture,Delta Parks & Recreation,"Acting, Cooking, Dance, Music, Reading",,,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,
0-5,Education,Delta Parks & Recreation,"Roaming Rascals, Preschool drive-in movie afternoon, Sports Zone Interactive gym",,,http://www.delta.ca/parks-recreation/activity-search,Drop In,Free,
0-5,Education,Delta School District,Strong Start,,,https://www.deltasd.bc.ca/content/programs/strongstart,Drop In,Free,
0-5,Education,Francaphone School District,Franc Depart,,,http://www.fpfcb.bc.ca/files/francdepart_flyer_13july_en.pdf,Drop In,Free,
0-5,Education,Boys & Girls Club of the South Coast-Early Years Programs,"Parent Child Mother Goose, Parent Child Learning Together",,,https://www.bgcbc.ca/what-we-do/counselling-support-services/early-years-services/,Registered,Paid,
0-5,Education,Delta Libraries of the Fraser Valley Regional Library,Parent Child Mother Goose,,,,Registered,Paid,
0-5,Education,Ladner Pioneer Library,"Babytime, Storytime, Parent Child Mother Goose","4683 - 51st Street
 Delta, BC V4K 2V8",(604) 946-6215,https://fvrl.bibliocommons.com/locations/LD,Drop In,Free,
0-5,Education,George Mackie Library,"Babytime, Storytime, Parent Child Mother Goose","8440 - 112th Street
 Delta, BC V4C 4W9",(604) 594-8155,https://fvrl.bibliocommons.com/locations/ND,Drop In,Free,
0-5,Education,Tsawwassen Library,"Babytime, Storytime","1321A - 56th Street
 Delta, BC V4L 2A6",(604) 943-2271,https://fvrl.bibliocommons.com/locations/SD,Drop In,Free,
0-5,Parent & Child,Boys & Girls Club of the South Coast-Early Years Programs,"The Ladner Early Childhood Development Hub, North Delta Family Resource Centre Progam",,,https://www.bgcbc.ca/what-we-do/counselling-support-services/early-years-services/,Drop In,Free,
0-5,Parent & Child,North Delta Early Years Centre,Family Drop in,,,https://www.facebook.com/deltaearlyyears/,Drop In,Free,
0-5,Parent & Child,Ladner Christian Reformed Church,The Well,,,https://www.facebook.com/groups/TheWellLadner,Drop In,Free,
