Category,Service,Agency,Phone number,Address,Website,Description that relate to service,Tags,Logo
Children,Child Advocacy,Reporting child abuse,1-800-663-9122,,http://www2.gov.bc.ca/gov/content/safety/public-safety/protecting-children/keeping-kids-safe,"If you think a child or youth under 19 years of age is being abused or neglected, you have the legal duty to report your concern",,
Children,Child Advocacy,"Ministry for Children and Family Development, Child Welfare Concerns",,1 800 663 9122 http://www2.gov.bc.ca/gov/content/safety/public-safety/protecting-children/reporting-child-abuse,,Phone number for reporting suspected child abuse. In an emergency call 911.,,
Children,Child Advocacy,"Ministry of Justice, Public Guardian and Trustee of BC",,604-660-4444 http://www.trustee.bc.ca,,Works to protect the legal rights and interests of vulnerable British Columbians. Protect the legal and financial interests of children under the age of 19 years.,,
Children,Child Advocacy,Representative of Children and Youth,,1-800-476-3933 https://www.rcybc.ca/,,"The Representative for Children and Youth supports children, youth and families who need help in dealing with the child-serving system.",,
Children,Health & Development,Health Link BC,Call 811,,https://www.healthlinkbc.ca/,Advice from nurses available 24 hours a day. For emergencies call 911.,,
Children,Health & Development,North Delta Early Years Centre,,https://www.facebook.com/deltaearlyyears/,,"Assement days, therapy rooms",,
Children,Health & Development,Public Health Nurse,,"South Delta Health Unit 604-952-3550
 North Delta Health Unit 604-507-5400
 Fraser Health website",,Public Health nurses can do immunizations and health checks.,,
Children,Health & Development,Your Family Doctor,,Find a family doctor – College of Physicians website,,Your first stop for any health questions or concerns.,,
Children,Help in a Crisis,Crisis Line,310-6789 (no area code is required),,http://www.crisislines.bc.ca/,Crisis line for any one.,,
Children,Help in a Crisis,Emergency Line,911,,,"For Fire, Police & Ambulance",,
Children,Help in a Crisis,Suicide Hotline,1-800-SUICIDE (1-800-784-2433),,http://www.crisislines.bc.ca/,,,
Children,Help in a Crisis,YouthinBC 24/7 crisis line,1-866-661-3311,,http://youthinbc.com/,"YouthInBC.com is a program of the Crisis Centre.
 It Connects youth with support, information and resources.",,
Children,Help in a Crisis,Kids Help Phone,1-800-668-6868,,https://kidshelpphone.ca/,National charity with counselors available 24 hours a day for children and teens. In an emergency call 911.,,
Children,Supports for Children,Autism Community Training (ACT),604-205-5467,"2250 Boundary Rd, Burnaby, BC V5M 3Z3",www.actcommunity.ca/,Information and referrals for families whose children have Autism; registry of Autism service providers,,
Children,Supports for Children,"Child and Youth Mental Health, MCFD",604 940-7900 or 604 501-3237 for referrals,"200-11861 88th Avenue, Delta",http://www2.gov.bc.ca/gov/content/health/managing-your-health/mental-health-substance-use/child-teen-mental-health/mental-health-intake-clinics,Must show up in person: Tuesdays 9-11.30 North Delta *check website to confirm clinic times,,
